,Site,Index,Latitude,Longitude,Climate,Population Status,Weight,Height,Wing Chord,Colour,Sex,Nesting Site,Nesting Height,Number of Eggs,Egg Weight,Flock,Home Range,Flock Size,Predator Presence,Predator Type
1,Siberia,SI,60,100,Continental,Native,"34,05",12.87,6.67,Brown,Male,NA,     NA,   NA,  NA,B,Large,16,Yes,Avian
2,Siberia,SI,60,100,Continental,Native,"34,86",13.68,6.79,Grey,Male,NA,     NA,   NA,  NA,B,Large,16,Yes,Avian
3,Siberia,SI,60,100,Continental,Native,"32,34",12.66,6.64,Black,Female,Shrub,35.6,1,3.21,C,Large,14,Yes,Avian
4,Siberia,SI,60,100,Continental,Native,"34,78",15.09,7,Brown,Female,Shrub,47.75,0,  NA,E,Large,10,Yes,Avian
5,Siberia,SI,60,100,Continental,Native,"35,01",13.82,6.81,Grey,Male,NA,     NA,   NA,  NA,B,Large,16,Yes,Avian
6,Siberia,SI,60,100,Continental,Native,"32,36",12.67,6.64,Brown,Female,Shrub,32.47,1,3.17,E,Large,10,Yes,Avian
7,Siberia,SI,60,100,Continental,Native,"33,67",13.98,6.84,Brown,Female,Tree,780.74,0,  NA,E,Large,10,Yes,Avian
8,Siberia,SI,60,100,Continental,Native,"33,92",14.23,6.87,Black,Female,Shrub,68.93,0,  NA,D,Small,17,Yes,Avian
9,Siberia,SI,60,100,Continental,Native,"33,76",14.07,6.85,Black,Female,Tree,1064.28,1,3.17,D,Small,17,Yes,Avian
10,Siberia,SI,60,100,Continental,Native,"34,37",13.19,6.72,Grey,Male,NA,     NA,   NA,  NA,A,Large,9,Yes,Avian
11,Siberia,SI,60,100,Continental,Native,"36,19",15,6.99,Grey,Male,NA,     NA,   NA,  NA,B,Large,16,Yes,Avian
12,Siberia,SI,60,100,Continental,Native,"35,07",13.88,6.82,Grey,Male,NA,     NA,   NA,  NA,A,Large,9,Yes,Avian
13,Siberia,SI,60,100,Continental,Native,"32,56",12.87,6.67,Black,Female,Tree,707.53,0,  NA,D,Small,17,Yes,Avian
14,Siberia,SI,60,100,Continental,Native,"32,47",11.28,6.43,Grey,Male,NA,     NA,   NA,  NA,B,Large,16,Yes,Avian
15,Siberia,SI,60,100,Continental,Native,"34,31",14.62,6.93,Black,Female,Shrub,49.94,0,  NA,D,Small,17,Yes,Avian
16,Siberia,SI,60,100,Continental,Native,"34,64",13.45,6.76,Black,Male,NA,     NA,   NA,  NA,C,Large,14,Yes,Avian
17,Siberia,SI,60,100,Continental,Native,"33,16",13.48,6.76,Black,Female,Shrub,32.69,0,  NA,D,Small,17,Yes,Avian
18,Siberia,SI,60,100,Continental,Native,"34,12",14.44,6.91,Brown,Female,Shrub,52.31,0,  NA,E,Large,10,Yes,Avian
19,Siberia,SI,60,100,Continental,Native,"35,5",14.31,6.89,Grey,Male,NA,     NA,   NA,  NA,B,Large,16,Yes,Avian
20,Siberia,SI,60,100,Continental,Native,"33,77",14.09,6.85,Black,Female,Shrub,56.07,0,  NA,D,Small,17,Yes,Avian
21,Siberia,SI,60,100,Continental,Native,"34,1",14.41,6.9,Brown,Female,Shrub,53.64,0,  NA,E,Large,10,Yes,Avian
22,Siberia,SI,60,100,Continental,Native,"35,46",14.27,6.88,Grey,Male,NA,     NA,   NA,  NA,B,Large,16,Yes,Avian
23,Siberia,SI,60,100,Continental,Native,"33,25",13.57,6.78,Black,Female,Shrub,40.42,1,3.21,D,Small,17,Yes,Avian
24,Siberia,SI,60,100,Continental,Native,"32,69",11.5,6.47,Grey,Male,NA,     NA,   NA,  NA,A,Large,9,Yes,Avian
25,Siberia,SI,60,100,Continental,Native,"35,3",14.11,6.86,Grey,Male,NA,     NA,   NA,  NA,B,Large,16,Yes,Avian
26,Siberia,SI,60,100,Continental,Native,"34,62",13.44,6.76,Grey,Male,NA,     NA,   NA,  NA,B,Large,16,Yes,Avian
27,Siberia,SI,60,100,Continental,Native,"34,52",13.34,6.74,Grey,Male,NA,     NA,   NA,  NA,A,Large,9,Yes,Avian
28,Siberia,SI,60,100,Continental,Native,"33,21",12.02,6.54,Grey,Male,NA,     NA,   NA,  NA,B,Large,16,Yes,Avian
29,Siberia,SI,60,100,Continental,Native,"32,7",13.01,6.69,Black,Female,Shrub,67.68,1,2.89,E,Large,10,Yes,Avian
30,Siberia,SI,60,100,Continental,Native,"35,1",13.91,6.83,Grey,Male,NA,     NA,   NA,  NA,B,Large,16,Yes,Avian
31,Siberia,SI,60,100,Continental,Native,"36,04",14.85,6.97,Black,Male,NA,     NA,   NA,  NA,C,Large,14,Yes,Avian
32,Siberia,SI,60,100,Continental,Native,"33,08",13.39,6.75,Black,Female,Shrub,50.85,0,  NA,C,Large,14,Yes,Avian
